 ,X,Y,XM,YM,Image Name
1,214.500,5.500,214.500,5.500,GluSnFR3_JF646_4Ca_cis_dish8_plate08_region02_ctrl_repl01_-1_maxFiltered.tiff
2,150.272,19.494,150.272,19.494,GluSnFR3_JF646_4Ca_cis_dish8_plate08_region02_ctrl_repl01_-1_maxFiltered.tiff
3,171.500,39.000,171.500,39.000,GluSnFR3_JF646_4Ca_cis_dish8_plate08_region02_ctrl_repl01_-1_maxFiltered.tiff
4,127.916,118.877,127.916,118.877,GluSnFR3_JF646_4Ca_cis_dish8_plate08_region02_ctrl_repl01_-1_maxFiltered.tiff
5,65.000,114.500,65.000,114.500,GluSnFR3_JF646_4Ca_cis_dish8_plate08_region02_ctrl_repl01_-1_maxFiltered.tiff
6,53.840,122.181,53.840,122.181,GluSnFR3_JF646_4Ca_cis_dish8_plate08_region02_ctrl_repl01_-1_maxFiltered.tiff
7,226.916,130.054,226.916,130.054,GluSnFR3_JF646_4Ca_cis_dish8_plate08_region02_ctrl_repl01_-1_maxFiltered.tiff
8,104.748,135.624,104.748,135.624,GluSnFR3_JF646_4Ca_cis_dish8_plate08_region02_ctrl_repl01_-1_maxFiltered.tiff
9,56.142,140.610,56.142,140.610,GluSnFR3_JF646_4Ca_cis_dish8_plate08_region02_ctrl_repl01_-1_maxFiltered.tiff
10,141.159,153.023,141.159,153.023,GluSnFR3_JF646_4Ca_cis_dish8_plate08_region02_ctrl_repl01_-1_maxFiltered.tiff
11,53.887,158.000,53.887,158.000,GluSnFR3_JF646_4Ca_cis_dish8_plate08_region02_ctrl_repl01_-1_maxFiltered.tiff
12,95.597,175.925,95.597,175.925,GluSnFR3_JF646_4Ca_cis_dish8_plate08_region02_ctrl_repl01_-1_maxFiltered.tiff
13,128.026,189.679,128.026,189.679,GluSnFR3_JF646_4Ca_cis_dish8_plate08_region02_ctrl_repl01_-1_maxFiltered.tiff
14,55.554,192.257,55.554,192.257,GluSnFR3_JF646_4Ca_cis_dish8_plate08_region02_ctrl_repl01_-1_maxFiltered.tiff
15,87.873,192.833,87.873,192.833,GluSnFR3_JF646_4Ca_cis_dish8_plate08_region02_ctrl_repl01_-1_maxFiltered.tiff
16,40.697,203.425,40.697,203.425,GluSnFR3_JF646_4Ca_cis_dish8_plate08_region02_ctrl_repl01_-1_maxFiltered.tiff
17,67.587,203.500,67.587,203.500,GluSnFR3_JF646_4Ca_cis_dish8_plate08_region02_ctrl_repl01_-1_maxFiltered.tiff
18,178.565,204.565,178.565,204.565,GluSnFR3_JF646_4Ca_cis_dish8_plate08_region02_ctrl_repl01_-1_maxFiltered.tiff
19,117.593,208.593,117.593,208.593,GluSnFR3_JF646_4Ca_cis_dish8_plate08_region02_ctrl_repl01_-1_maxFiltered.tiff
20,147.102,213.568,147.102,213.568,GluSnFR3_JF646_4Ca_cis_dish8_plate08_region02_ctrl_repl01_-1_maxFiltered.tiff
21,74.500,213.000,74.500,213.000,GluSnFR3_JF646_4Ca_cis_dish8_plate08_region02_ctrl_repl01_-1_maxFiltered.tiff
22,164.174,215.000,164.174,215.000,GluSnFR3_JF646_4Ca_cis_dish8_plate08_region02_ctrl_repl01_-1_maxFiltered.tiff
23,224.500,215.500,224.500,215.500,GluSnFR3_JF646_4Ca_cis_dish8_plate08_region02_ctrl_repl01_-1_maxFiltered.tiff
24,82.500,218.000,82.500,218.000,GluSnFR3_JF646_4Ca_cis_dish8_plate08_region02_ctrl_repl01_-1_maxFiltered.tiff
25,43.085,220.085,43.085,220.085,GluSnFR3_JF646_4Ca_cis_dish8_plate08_region02_ctrl_repl01_-1_maxFiltered.tiff
26,13.125,223.500,13.125,223.500,GluSnFR3_JF646_4Ca_cis_dish8_plate08_region02_ctrl_repl01_-1_maxFiltered.tiff
27,219.614,229.652,219.614,229.652,GluSnFR3_JF646_4Ca_cis_dish8_plate08_region02_ctrl_repl01_-1_maxFiltered.tiff
28,95.000,225.500,95.000,225.500,GluSnFR3_JF646_4Ca_cis_dish8_plate08_region02_ctrl_repl01_-1_maxFiltered.tiff
29,47.190,231.802,47.190,231.802,GluSnFR3_JF646_4Ca_cis_dish8_plate08_region02_ctrl_repl01_-1_maxFiltered.tiff
30,84.425,230.047,84.425,230.047,GluSnFR3_JF646_4Ca_cis_dish8_plate08_region02_ctrl_repl01_-1_maxFiltered.tiff
31,96.625,233.125,96.625,233.125,GluSnFR3_JF646_4Ca_cis_dish8_plate08_region02_ctrl_repl01_-1_maxFiltered.tiff
32,110.929,236.929,110.929,236.929,GluSnFR3_JF646_4Ca_cis_dish8_plate08_region02_ctrl_repl01_-1_maxFiltered.tiff
33,85.318,245.838,85.318,245.838,GluSnFR3_JF646_4Ca_cis_dish8_plate08_region02_ctrl_repl01_-1_maxFiltered.tiff
34,71.655,247.943,71.655,247.943,GluSnFR3_JF646_4Ca_cis_dish8_plate08_region02_ctrl_repl01_-1_maxFiltered.tiff
