 ,X,Y,XM,YM,Image Name
1,236.537,40.176,236.537,40.176,GluSnFR3_JF646_4Ca_cis_dish8_plate07_region05_ctrl_repl01_-1_maxFiltered.tiff
2,240.500,61.500,240.500,61.500,GluSnFR3_JF646_4Ca_cis_dish8_plate07_region05_ctrl_repl01_-1_maxFiltered.tiff
3,200.689,80.488,200.689,80.488,GluSnFR3_JF646_4Ca_cis_dish8_plate07_region05_ctrl_repl01_-1_maxFiltered.tiff
4,111.639,117.923,111.639,117.923,GluSnFR3_JF646_4Ca_cis_dish8_plate07_region05_ctrl_repl01_-1_maxFiltered.tiff
5,150.000,108.500,150.000,108.500,GluSnFR3_JF646_4Ca_cis_dish8_plate07_region05_ctrl_repl01_-1_maxFiltered.tiff
6,124.000,119.500,124.000,119.500,GluSnFR3_JF646_4Ca_cis_dish8_plate07_region05_ctrl_repl01_-1_maxFiltered.tiff
7,72.665,147.233,72.665,147.233,GluSnFR3_JF646_4Ca_cis_dish8_plate07_region05_ctrl_repl01_-1_maxFiltered.tiff
8,228.500,139.000,228.500,139.000,GluSnFR3_JF646_4Ca_cis_dish8_plate07_region05_ctrl_repl01_-1_maxFiltered.tiff
9,204.717,145.946,204.717,145.946,GluSnFR3_JF646_4Ca_cis_dish8_plate07_region05_ctrl_repl01_-1_maxFiltered.tiff
10,33.490,151.071,33.490,151.071,GluSnFR3_JF646_4Ca_cis_dish8_plate07_region05_ctrl_repl01_-1_maxFiltered.tiff
11,219.480,160.438,219.480,160.438,GluSnFR3_JF646_4Ca_cis_dish8_plate07_region05_ctrl_repl01_-1_maxFiltered.tiff
12,161.597,162.492,161.597,162.492,GluSnFR3_JF646_4Ca_cis_dish8_plate07_region05_ctrl_repl01_-1_maxFiltered.tiff
13,24.811,160.985,24.811,160.985,GluSnFR3_JF646_4Ca_cis_dish8_plate07_region05_ctrl_repl01_-1_maxFiltered.tiff
14,144.211,163.144,144.211,163.144,GluSnFR3_JF646_4Ca_cis_dish8_plate07_region05_ctrl_repl01_-1_maxFiltered.tiff
15,109.165,175.048,109.165,175.048,GluSnFR3_JF646_4Ca_cis_dish8_plate07_region05_ctrl_repl01_-1_maxFiltered.tiff
16,8.797,181.797,8.797,181.797,GluSnFR3_JF646_4Ca_cis_dish8_plate07_region05_ctrl_repl01_-1_maxFiltered.tiff
17,76.514,194.467,76.514,194.467,GluSnFR3_JF646_4Ca_cis_dish8_plate07_region05_ctrl_repl01_-1_maxFiltered.tiff
18,99.353,200.307,99.353,200.307,GluSnFR3_JF646_4Ca_cis_dish8_plate07_region05_ctrl_repl01_-1_maxFiltered.tiff
19,115.500,207.125,115.500,207.125,GluSnFR3_JF646_4Ca_cis_dish8_plate07_region05_ctrl_repl01_-1_maxFiltered.tiff
20,144.490,235.799,144.490,235.799,GluSnFR3_JF646_4Ca_cis_dish8_plate07_region05_ctrl_repl01_-1_maxFiltered.tiff
