 ,X,Y,XM,YM,Image Name
1,66.594,29.299,66.594,29.299,GluSnFR3_JF646_4Ca_cis_dish7_plate07_region04_ctrl_repl01_-1_maxFiltered.tiff
2,52.500,54.500,52.500,54.500,GluSnFR3_JF646_4Ca_cis_dish7_plate07_region04_ctrl_repl01_-1_maxFiltered.tiff
3,33.064,60.555,33.064,60.555,GluSnFR3_JF646_4Ca_cis_dish7_plate07_region04_ctrl_repl01_-1_maxFiltered.tiff
4,12.407,64.407,12.407,64.407,GluSnFR3_JF646_4Ca_cis_dish7_plate07_region04_ctrl_repl01_-1_maxFiltered.tiff
5,83.242,88.480,83.242,88.480,GluSnFR3_JF646_4Ca_cis_dish7_plate07_region04_ctrl_repl01_-1_maxFiltered.tiff
6,112.709,90.058,112.709,90.058,GluSnFR3_JF646_4Ca_cis_dish7_plate07_region04_ctrl_repl01_-1_maxFiltered.tiff
7,142.000,99.500,142.000,99.500,GluSnFR3_JF646_4Ca_cis_dish7_plate07_region04_ctrl_repl01_-1_maxFiltered.tiff
8,122.524,114.024,122.524,114.024,GluSnFR3_JF646_4Ca_cis_dish7_plate07_region04_ctrl_repl01_-1_maxFiltered.tiff
9,93.984,119.896,93.984,119.896,GluSnFR3_JF646_4Ca_cis_dish7_plate07_region04_ctrl_repl01_-1_maxFiltered.tiff
10,11.394,123.091,11.394,123.091,GluSnFR3_JF646_4Ca_cis_dish7_plate07_region04_ctrl_repl01_-1_maxFiltered.tiff
11,137.066,126.443,137.066,126.443,GluSnFR3_JF646_4Ca_cis_dish7_plate07_region04_ctrl_repl01_-1_maxFiltered.tiff
12,117.394,128.909,117.394,128.909,GluSnFR3_JF646_4Ca_cis_dish7_plate07_region04_ctrl_repl01_-1_maxFiltered.tiff
13,33.500,130.000,33.500,130.000,GluSnFR3_JF646_4Ca_cis_dish7_plate07_region04_ctrl_repl01_-1_maxFiltered.tiff
14,12.500,131.000,12.500,131.000,GluSnFR3_JF646_4Ca_cis_dish7_plate07_region04_ctrl_repl01_-1_maxFiltered.tiff
15,170.561,139.350,170.561,139.350,GluSnFR3_JF646_4Ca_cis_dish7_plate07_region04_ctrl_repl01_-1_maxFiltered.tiff
16,120.397,150.511,120.397,150.511,GluSnFR3_JF646_4Ca_cis_dish7_plate07_region04_ctrl_repl01_-1_maxFiltered.tiff
17,8.833,143.000,8.833,143.000,GluSnFR3_JF646_4Ca_cis_dish7_plate07_region04_ctrl_repl01_-1_maxFiltered.tiff
18,68.000,143.500,68.000,143.500,GluSnFR3_JF646_4Ca_cis_dish7_plate07_region04_ctrl_repl01_-1_maxFiltered.tiff
19,161.667,152.825,161.667,152.825,GluSnFR3_JF646_4Ca_cis_dish7_plate07_region04_ctrl_repl01_-1_maxFiltered.tiff
20,189.488,156.794,189.488,156.794,GluSnFR3_JF646_4Ca_cis_dish7_plate07_region04_ctrl_repl01_-1_maxFiltered.tiff
21,77.972,164.828,77.972,164.828,GluSnFR3_JF646_4Ca_cis_dish7_plate07_region04_ctrl_repl01_-1_maxFiltered.tiff
22,145.969,175.396,145.969,175.396,GluSnFR3_JF646_4Ca_cis_dish7_plate07_region04_ctrl_repl01_-1_maxFiltered.tiff
23,132.442,178.949,132.442,178.949,GluSnFR3_JF646_4Ca_cis_dish7_plate07_region04_ctrl_repl01_-1_maxFiltered.tiff
24,214.929,185.929,214.929,185.929,GluSnFR3_JF646_4Ca_cis_dish7_plate07_region04_ctrl_repl01_-1_maxFiltered.tiff
25,189.628,195.500,189.628,195.500,GluSnFR3_JF646_4Ca_cis_dish7_plate07_region04_ctrl_repl01_-1_maxFiltered.tiff
26,147.500,197.500,147.500,197.500,GluSnFR3_JF646_4Ca_cis_dish7_plate07_region04_ctrl_repl01_-1_maxFiltered.tiff
27,109.846,206.955,109.837,206.971,GluSnFR3_JF646_4Ca_cis_dish7_plate07_region04_ctrl_repl01_-1_maxFiltered.tiff
28,79.929,210.929,79.929,210.929,GluSnFR3_JF646_4Ca_cis_dish7_plate07_region04_ctrl_repl01_-1_maxFiltered.tiff
29,94.000,226.000,94.000,226.000,GluSnFR3_JF646_4Ca_cis_dish7_plate07_region04_ctrl_repl01_-1_maxFiltered.tiff
30,183.929,231.929,183.929,231.929,GluSnFR3_JF646_4Ca_cis_dish7_plate07_region04_ctrl_repl01_-1_maxFiltered.tiff
